query,scan_bytes,latency_ms
SELECT * FROM users WHERE id = 8731,1004598,22
SELECT * FROM orders WHERE total > 41378,5237024,48
SELECT * FROM users WHERE id IN (813),1266304,18
SELECT * FROM users WHERE id = 84746,1138179,14
SELECT * FROM users WHERE id = 90002,1183333,10
SELECT * FROM users WHERE id = 12376,812588,20
SELECT COUNT(*) FROM events WHERE month = 'Apr',11482662,125
"SELECT * FROM orders WHERE status IN ('shipped', 'pending', 'cancelled')",2005228,25
SELECT * FROM users WHERE id = 45899,866078,7
SELECT * FROM users WHERE id = 3019,919679,21
SELECT COUNT(*) FROM events WHERE month = 'Apr',9974693,96
SELECT * FROM users WHERE id = 78289,895973,14
SELECT * FROM users WHERE id = 52877,922298,16
SELECT * FROM users WHERE id = 51023,1067375,6
"SELECT * FROM orders WHERE status IN ('delivered', 'shipped')",2125372,18
SELECT * FROM sessions WHERE duration > 74908,3144543,31
SELECT * FROM sessions WHERE duration > 73037,3674366,45
SELECT * FROM orders WHERE total > 54130,4072939,48
SELECT * FROM sessions WHERE duration > 95630,3056855,32
SELECT * FROM orders WHERE total > 3875,4236627,41
SELECT * FROM orders WHERE total > 76333,4332913,38
SELECT * FROM users WHERE id = 72078,971181,19
SELECT * FROM users WHERE id = 35469,1056538,16
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2241676,28
SELECT * FROM orders WHERE total > 12175,4028637,36
SELECT * FROM users WHERE id = 67431,959752,19
SELECT * FROM orders WHERE total > 7543,4489967,43
SELECT COUNT(*) FROM events WHERE month = 'Jun',10466199,106
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",9579238,106
SELECT * FROM sessions WHERE duration > 50331,3913855,53
SELECT COUNT(*) FROM events WHERE month = 'May',11191351,118
"SELECT * FROM users WHERE id IN (309, 668, 372)",1020584,9
SELECT * FROM users WHERE id = 1557,977073,23
SELECT * FROM orders WHERE total > 56996,4496485,55
SELECT * FROM orders WHERE total > 15082,5530839,53
SELECT * FROM orders WHERE total > 69626,4595596,57
SELECT * FROM users WHERE id = 46113,838830,22
SELECT * FROM users WHERE id = 71860,817871,11
SELECT * FROM sessions WHERE duration > 78583,3986785,48
SELECT * FROM users WHERE id = 70516,875106,23
SELECT * FROM users WHERE id = 22544,982407,4
SELECT * FROM users WHERE id = 21529,1068406,14
SELECT * FROM products WHERE category = 'electronics',1865113,20
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3192769,46
"SELECT * FROM orders WHERE status IN ('pending', 'delivered', 'pending')",2911549,42
SELECT * FROM products WHERE category = 'garden',1943726,33
SELECT * FROM products WHERE category = 'books',1623837,14
SELECT * FROM orders WHERE total > 60468,5036338,61
"SELECT * FROM orders WHERE status IN ('pending', 'shipped', 'shipped')",2025089,24
SELECT * FROM sessions WHERE duration > 5706,3408362,47
SELECT COUNT(*) FROM events WHERE month = 'Apr',10277074,108
SELECT * FROM users WHERE id = 24876,1140111,23
SELECT * FROM users WHERE id = 67293,1016934,10
SELECT * FROM users WHERE id = 68114,1085509,19
SELECT * FROM users WHERE id = 19796,885153,7
SELECT * FROM products WHERE category = 'toys',2351691,35
SELECT * FROM orders WHERE total > 35405,4738739,60
SELECT * FROM users WHERE id = 17655,1005086,13
SELECT * FROM users WHERE id = 86308,1062087,19
SELECT * FROM users WHERE id = 52462,1008313,21
SELECT * FROM products WHERE category = 'garden',1983809,14
"SELECT * FROM orders WHERE status IN ('shipped', 'shipped', 'pending')",2466671,28
SELECT * FROM users WHERE id = 30448,873104,19
SELECT * FROM users WHERE id = 20891,987164,20
SELECT * FROM users WHERE id = 15358,1153587,24
SELECT * FROM users WHERE id = 82861,1069535,12
SELECT * FROM orders WHERE total > 35623,5184456,65
SELECT * FROM products WHERE category = 'garden',2447671,23
SELECT * FROM products WHERE category = 'toys',1813065,19
SELECT * FROM orders WHERE total > 13102,4582372,42
SELECT * FROM users WHERE id = 11199,1172480,16
SELECT COUNT(*) FROM events WHERE month = 'Apr',11586961,116
SELECT * FROM users WHERE id = 92244,954114,23
SELECT * FROM orders WHERE total > 39067,5532905,58
SELECT COUNT(*) FROM events WHERE month = 'Jun',11857085,130
SELECT COUNT(*) FROM events WHERE month = 'Jun',9195258,94
SELECT * FROM users WHERE id = 76730,842924,17
SELECT * FROM products WHERE category = 'toys',2405367,28
"SELECT * FROM orders WHERE status IN ('delivered', 'cancelled', 'cancelled', 'returned')",2981031,26
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",7964191,91
SELECT * FROM users WHERE id = 66536,1120531,18
SELECT * FROM sessions WHERE duration > 13912,4706064,57
SELECT * FROM orders WHERE total > 83014,4614756,49
SELECT * FROM products WHERE category = 'toys',1802955,14
SELECT COUNT(*) FROM events WHERE month = 'May',11810116,116
SELECT * FROM orders WHERE status IN ('shipped'),2487540,20
SELECT COUNT(*) FROM events WHERE month = 'Apr',11987661,125
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",9342347,90
SELECT COUNT(*) FROM events WHERE month = 'Mar',9099902,91
SELECT * FROM users WHERE id = 82659,857146,7
SELECT * FROM orders WHERE total > 29790,5649795,63
SELECT COUNT(*) FROM events WHERE month = 'Jun',10794971,102
SELECT * FROM users WHERE id = 75078,891576,18
SELECT * FROM users WHERE id = 80795,1053490,6
SELECT * FROM orders WHERE status IN ('returned'),2970534,26
SELECT * FROM orders WHERE total > 80065,4860396,62
SELECT * FROM orders WHERE total > 60361,5236523,51
SELECT * FROM users WHERE id = 20613,1102696,25
SELECT * FROM users WHERE id = 25306,1135805,15
SELECT * FROM users WHERE id = 74826,1188865,8
SELECT * FROM orders WHERE total > 29571,4141801,37
"SELECT * FROM users WHERE id IN (836, 988, 18, 935)",1481988,21
SELECT * FROM users WHERE id = 31845,859500,5
SELECT * FROM orders WHERE total > 89594,5718044,72
"SELECT * FROM orders WHERE status IN ('shipped', 'pending')",2205715,30
SELECT * FROM users WHERE id = 49431,993804,12
SELECT * FROM users WHERE id = 22291,806974,9
SELECT COUNT(*) FROM events WHERE month = 'May',10714280,117
SELECT * FROM users WHERE id = 56080,872913,10
SELECT * FROM users WHERE id = 15412,996890,14
SELECT * FROM orders WHERE total > 34426,4179521,43
SELECT * FROM users WHERE id = 81981,925878,23
SELECT * FROM users WHERE id = 42462,1056530,24
SELECT * FROM orders WHERE total > 44429,4740768,62
SELECT * FROM users WHERE id = 60649,1165582,12
SELECT * FROM orders WHERE total > 1126,5711301,72
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2051287,27
SELECT * FROM sessions WHERE duration > 43271,3825570,42
SELECT * FROM orders WHERE total > 34481,5451555,53
SELECT * FROM orders WHERE total > 4197,5520846,54
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",7132227,70
SELECT * FROM users WHERE id = 75818,978628,5
SELECT * FROM products WHERE category = 'garden',2430456,28
SELECT COUNT(*) FROM events WHERE month = 'Feb',11913663,130
SELECT * FROM orders WHERE total > 80145,5655507,59
SELECT * FROM products WHERE category = 'toys',2403902,27
SELECT COUNT(*) FROM events WHERE month = 'Jan',11576285,128
SELECT * FROM users WHERE id = 29808,959664,21
SELECT COUNT(*) FROM events WHERE month = 'Feb',11098958,107
SELECT * FROM orders WHERE status IN ('pending'),2053420,31
SELECT * FROM users WHERE id = 6628,983349,11
SELECT * FROM orders WHERE total > 67451,5828906,63
SELECT * FROM orders WHERE total > 23605,5602630,63
SELECT * FROM users WHERE id = 29820,1010253,24
SELECT * FROM orders WHERE total > 41490,5244823,52
SELECT COUNT(*) FROM events WHERE month = 'Apr',10326278,117
"SELECT * FROM orders WHERE status IN ('shipped', 'cancelled')",2772010,35
SELECT * FROM products WHERE category = 'toys',2050932,32
SELECT COUNT(*) FROM events WHERE month = 'Jun',11312097,112
SELECT COUNT(*) FROM events WHERE month = 'May',11139026,114
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",8003806,86
SELECT * FROM users WHERE id IN (123),1289496,9
SELECT * FROM users WHERE id = 92445,1079191,25
"SELECT * FROM orders WHERE status IN ('shipped', 'pending')",2288292,31
SELECT * FROM orders WHERE total > 67014,5665865,66
SELECT COUNT(*) FROM events WHERE month = 'May',10323363,99
SELECT * FROM orders WHERE total > 63988,5654059,71
SELECT * FROM users WHERE id = 232,1164565,10
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3645147,35
SELECT * FROM products WHERE category = 'toys',1879732,29
SELECT * FROM users WHERE id = 22297,1020911,17
SELECT COUNT(*) FROM events WHERE month = 'Jun',10851832,121
SELECT * FROM orders WHERE total > 93080,4451121,54
SELECT COUNT(*) FROM events WHERE month = 'Apr',10340626,114
SELECT COUNT(*) FROM events WHERE month = 'May',10365314,100
SELECT COUNT(*) FROM events WHERE month = 'Mar',11502977,124
SELECT COUNT(*) FROM events WHERE month = 'Jun',10056785,111
SELECT COUNT(*) FROM events WHERE month = 'Jun',10716973,116
SELECT * FROM users WHERE id = 26405,893014,10
SELECT * FROM users WHERE id = 62294,972666,15
SELECT * FROM orders WHERE total > 13434,5362634,64
SELECT * FROM products WHERE category = 'electronics',1608684,19
SELECT * FROM products WHERE category = 'books',1775624,27
SELECT * FROM users WHERE id = 88234,1100328,20
SELECT COUNT(*) FROM events WHERE month = 'Apr',9719409,104
SELECT * FROM users WHERE id = 64875,1117377,6
SELECT * FROM orders WHERE total > 45705,5317728,68
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2576516,38
SELECT * FROM users WHERE id = 84505,948681,22
SELECT * FROM users WHERE id = 74081,1121274,19
SELECT * FROM users WHERE id = 19990,1045110,15
SELECT * FROM users WHERE id = 38825,919148,20
SELECT * FROM orders WHERE total > 5528,4607729,45
SELECT * FROM sessions WHERE duration > 40284,4998501,62
SELECT * FROM orders WHERE total > 41073,4766961,50
SELECT * FROM users WHERE id = 26595,1054069,12
"SELECT * FROM orders WHERE status IN ('delivered', 'pending', 'returned')",2527838,25
SELECT * FROM sessions WHERE duration > 96879,3732815,36
SELECT * FROM orders WHERE total > 17553,4146087,55
SELECT * FROM users WHERE id = 36636,905860,17
SELECT * FROM users WHERE id = 63012,1195691,11
SELECT * FROM sessions WHERE duration > 65501,3064246,28
SELECT * FROM orders WHERE total > 52126,5537549,60
SELECT * FROM users WHERE id = 7849,1194574,9
SELECT * FROM products WHERE category = 'toys',1706457,14
SELECT * FROM orders WHERE total > 9766,4929526,61
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",9153469,98
SELECT * FROM users WHERE id = 13044,1009873,20
SELECT * FROM orders WHERE total > 48199,4816882,53
"SELECT * FROM users WHERE id IN (696, 529, 368, 562, 514)",1129027,23
"SELECT * FROM orders WHERE status IN ('cancelled', 'returned')",2723916,39
SELECT * FROM users WHERE id IN (520),1232677,8
SELECT * FROM users WHERE id = 26827,1065430,20
"SELECT * FROM users WHERE id IN (494, 20)",1238759,21
SELECT * FROM orders WHERE total > 99469,4084214,48
SELECT * FROM orders WHERE total > 48424,5236421,67
SELECT * FROM users WHERE id = 54047,1111914,14
SELECT COUNT(*) FROM events WHERE month = 'Jan',10763465,116
SELECT * FROM users WHERE id = 560,1085794,24
SELECT * FROM users WHERE id = 71648,971320,8
SELECT * FROM users WHERE id = 17437,972294,22
SELECT * FROM users WHERE id = 95507,1176910,11
SELECT * FROM users WHERE id = 1294,1173335,6
SELECT * FROM users WHERE id = 90772,1120738,7
SELECT * FROM users WHERE id = 90823,1018584,25
SELECT COUNT(*) FROM events WHERE month = 'Apr',9515092,103
SELECT COUNT(*) FROM events WHERE month = 'Jun',9457315,103
SELECT * FROM orders WHERE total > 99458,5345009,63
SELECT * FROM users WHERE id = 90394,835993,5
SELECT * FROM orders WHERE total > 36445,5053178,58
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2383682,23
"SELECT * FROM users WHERE id IN (635, 174, 292, 512)",1160996,6
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",7068678,80
SELECT COUNT(*) FROM events WHERE month = 'Mar',10223084,112
SELECT * FROM orders WHERE total > 87391,5901715,70
SELECT * FROM products WHERE category = 'electronics',1941806,22
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3819249,35
SELECT * FROM orders WHERE total > 36785,5959299,69
"SELECT * FROM users WHERE id IN (147, 617, 437, 304, 220)",1406471,23
"SELECT * FROM users WHERE id IN (924, 844, 740)",1226817,14
SELECT * FROM orders WHERE total > 87756,5477369,65
SELECT * FROM orders WHERE total > 33185,4445540,56
"SELECT * FROM orders WHERE status IN ('cancelled', 'returned')",2909804,41
SELECT * FROM users WHERE id = 67980,1105426,6
SELECT * FROM orders WHERE total > 36803,5521457,58
SELECT * FROM users WHERE id = 88706,1072335,13
SELECT * FROM orders WHERE total > 39151,4596983,53
SELECT * FROM users WHERE id = 70209,850759,16
SELECT * FROM users WHERE id = 97746,1153414,9
SELECT * FROM orders WHERE total > 31556,5791008,57
SELECT * FROM users WHERE id = 59844,919428,20
SELECT * FROM orders WHERE total > 93006,5455719,58
SELECT * FROM orders WHERE status IN ('shipped'),2513204,36
SELECT * FROM users WHERE id = 92605,919772,12
SELECT * FROM users WHERE id = 95280,1181249,13
SELECT * FROM products WHERE category = 'auto',2361318,36
SELECT * FROM orders WHERE total > 1773,4993925,60
SELECT * FROM users WHERE id = 79548,919448,10
SELECT * FROM orders WHERE total > 93366,4947901,55
SELECT * FROM users WHERE id = 24216,975193,4
SELECT * FROM users WHERE id = 68612,994691,17
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",7630312,87
SELECT * FROM users WHERE id = 20030,1044107,22
SELECT * FROM users WHERE id IN (1000),1010783,25
SELECT * FROM orders WHERE total > 5765,5153426,48
"SELECT * FROM users WHERE id IN (371, 985)",1352530,27
SELECT * FROM users WHERE id = 88026,978348,4
SELECT * FROM orders WHERE total > 55072,4046597,55
SELECT * FROM users WHERE id = 60432,949162,5
SELECT * FROM users WHERE id = 31776,801666,11
SELECT COUNT(*) FROM events WHERE month = 'Apr',10993845,111
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",3836937,40
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9538614,97
SELECT * FROM users WHERE id = 92938,1046000,24
SELECT * FROM orders WHERE total > 86299,5449394,56
SELECT * FROM orders WHERE total > 65259,5530814,67
SELECT * FROM users WHERE id = 95020,1052709,8
SELECT COUNT(*) FROM events WHERE month = 'Jun',10198030,105
"SELECT * FROM users WHERE id IN (71, 942, 789)",1298903,11
SELECT COUNT(*) FROM events WHERE month = 'May',10309790,117
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2531320,27
SELECT * FROM users WHERE id = 20219,820015,7
SELECT COUNT(*) FROM events WHERE month = 'Jan',10639132,112
SELECT * FROM users WHERE id = 47441,840029,19
SELECT * FROM users WHERE id = 44179,985715,20
SELECT COUNT(*) FROM events WHERE month = 'May',10777300,111
SELECT * FROM orders WHERE total > 29741,5404808,52
SELECT * FROM orders WHERE total > 39761,5442304,67
SELECT COUNT(*) FROM events WHERE month = 'Mar',11231912,125
SELECT * FROM users WHERE id = 14338,969333,4
SELECT * FROM users WHERE id = 74400,953861,10
SELECT * FROM users WHERE id = 80152,847848,9
SELECT * FROM users WHERE id IN (676),1430908,18
SELECT * FROM users WHERE id = 26110,807684,11
SELECT * FROM users WHERE id = 57629,803971,9
SELECT * FROM users WHERE id = 27943,918016,18
SELECT * FROM users WHERE id = 84322,875801,8
SELECT * FROM users WHERE id = 24801,1030013,9
SELECT * FROM orders WHERE total > 76781,5741935,53
SELECT * FROM orders WHERE total > 77206,5174791,65
SELECT * FROM orders WHERE status IN ('cancelled'),2046095,24
"SELECT * FROM users WHERE id IN (3, 248, 646)",1302480,28
SELECT * FROM users WHERE id = 68747,1146764,26
SELECT * FROM users WHERE id = 69716,1055722,17
SELECT COUNT(*) FROM events WHERE month = 'May',9230743,93
SELECT COUNT(*) FROM events WHERE month = 'Jun',10372439,118
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3839694,43
SELECT * FROM users WHERE id = 62032,870115,20
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2498641,28
"SELECT * FROM orders WHERE status IN ('cancelled', 'cancelled', 'delivered')",2061568,35
SELECT * FROM users WHERE id = 5205,1050603,11
SELECT * FROM sessions WHERE duration > 53274,3306668,47
SELECT * FROM users WHERE id = 54757,958907,8
"SELECT * FROM orders WHERE status IN ('cancelled', 'cancelled', 'cancelled')",2902776,30
SELECT * FROM users WHERE id = 7682,862929,13
"SELECT * FROM orders WHERE status IN ('pending', 'shipped', 'shipped', 'delivered')",2510462,30
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2979952,37
SELECT * FROM users WHERE id = 70572,1084989,17
"SELECT * FROM users WHERE id IN (203, 256, 216)",1223079,20
SELECT * FROM users WHERE id = 93411,876482,10
"SELECT * FROM users WHERE id IN (486, 787, 6, 25)",1201674,25
SELECT * FROM orders WHERE total > 28281,4772870,58
SELECT * FROM products WHERE category = 'garden',1628049,13
SELECT * FROM products WHERE category = 'garden',1955478,33
SELECT * FROM users WHERE id = 33775,1086013,20
SELECT * FROM users WHERE id = 36190,981834,5
SELECT COUNT(*) FROM events WHERE month = 'May',10971596,104
SELECT * FROM orders WHERE total > 46007,5977211,59
SELECT COUNT(*) FROM events WHERE month = 'Apr',9036236,91
SELECT * FROM users WHERE id = 52966,887214,4
SELECT * FROM users WHERE id = 70332,1156028,22
SELECT * FROM users WHERE id = 16698,1071881,10
SELECT * FROM users WHERE id = 98922,1025827,21
SELECT COUNT(*) FROM events WHERE month = 'Feb',11632266,111
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3039325,40
SELECT * FROM users WHERE id = 93616,812166,10
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2213864,19
SELECT * FROM users WHERE id = 63469,967298,22
SELECT * FROM orders WHERE total > 7002,5416833,68
SELECT * FROM orders WHERE total > 56816,5051561,45
SELECT * FROM users WHERE id = 2690,1169882,18
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",9085452,97
SELECT * FROM users WHERE id = 26554,954327,5
SELECT * FROM users WHERE id = 82097,1169194,24
SELECT * FROM orders WHERE total > 16724,4078533,53
SELECT * FROM users WHERE id = 60793,1150075,19
SELECT * FROM users WHERE id = 4284,885741,14
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2211894,28
SELECT * FROM orders WHERE total > 75404,4495332,58
SELECT * FROM sessions WHERE duration > 9481,4546329,49
SELECT * FROM users WHERE id = 1949,1026295,6
SELECT * FROM users WHERE id = 49829,843050,23
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",8703456,84
SELECT * FROM users WHERE id = 88817,1126413,11
SELECT * FROM users WHERE id = 8560,899489,14
SELECT * FROM orders WHERE total > 42920,4340850,49
SELECT * FROM orders WHERE total > 78431,4269327,55
SELECT COUNT(*) FROM events WHERE month = 'Apr',9060757,100
SELECT * FROM users WHERE id = 86012,916904,6
SELECT * FROM orders WHERE total > 58433,4317031,45
SELECT COUNT(*) FROM events WHERE month = 'May',11886434,115
"SELECT * FROM orders WHERE status IN ('delivered', 'shipped', 'pending')",2824584,23
SELECT * FROM users WHERE id = 49830,970890,18
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9664100,107
SELECT COUNT(*) FROM events WHERE month = 'Jun',9119766,105
SELECT * FROM orders WHERE total > 85268,5850350,56
SELECT * FROM users WHERE id = 70408,1139204,25
SELECT * FROM users WHERE id = 83210,1088540,25
SELECT * FROM users WHERE id = 84516,1006599,6
SELECT * FROM users WHERE id = 64095,876213,12
SELECT COUNT(*) FROM events WHERE month = 'Feb',9375156,101
"SELECT * FROM users WHERE id IN (206, 333, 446, 440, 878)",1404163,17
SELECT * FROM users WHERE id = 26972,1197418,24
"SELECT * FROM orders WHERE status IN ('pending', 'shipped', 'cancelled', 'delivered')",2071775,22
SELECT * FROM users WHERE id = 36256,1032683,25
"SELECT * FROM orders WHERE status IN ('shipped', 'delivered', 'pending', 'returned')",2543846,36
SELECT * FROM users WHERE id = 37250,839659,4
SELECT * FROM products WHERE category = 'electronics',1995714,14
SELECT * FROM orders WHERE total > 2664,4803661,48
SELECT * FROM users WHERE id = 45514,817991,6
SELECT * FROM orders WHERE total > 96443,5616949,68
SELECT COUNT(*) FROM events WHERE month = 'Jan',10528663,105
SELECT * FROM users WHERE id = 38706,821645,19
SELECT COUNT(*) FROM events WHERE month = 'May',11456077,125
SELECT * FROM users WHERE id = 17573,804000,10
SELECT * FROM orders WHERE total > 67704,4362857,48
SELECT * FROM orders WHERE total > 81569,5815600,66
SELECT * FROM orders WHERE total > 38000,4087796,35
SELECT * FROM users WHERE id = 75904,1028700,5
SELECT * FROM users WHERE id = 40329,835211,13
SELECT * FROM orders WHERE total > 73506,4025038,49
SELECT * FROM orders WHERE total > 20024,4963829,47
SELECT COUNT(*) FROM events WHERE month = 'Feb',11571677,128
SELECT * FROM users WHERE id = 74216,1148958,7
"SELECT * FROM users WHERE id IN (643, 814, 348)",1287724,13
SELECT * FROM users WHERE id = 40559,963093,6
SELECT * FROM users WHERE id = 56055,833464,12
SELECT * FROM sessions WHERE duration > 54647,4880349,44
SELECT * FROM orders WHERE total > 89166,5148077,57
SELECT * FROM users WHERE id = 14551,1024190,17
SELECT * FROM users WHERE id = 17499,834198,8
SELECT COUNT(*) FROM events WHERE month = 'Jun',11304204,126
SELECT * FROM users WHERE id = 14854,1163435,10
SELECT COUNT(*) FROM events WHERE month = 'Feb',10432785,109
SELECT * FROM users WHERE id = 78617,872258,19
SELECT COUNT(*) FROM events WHERE month = 'Feb',10500582,103
SELECT COUNT(*) FROM events WHERE month = 'Jan',10377449,105
SELECT * FROM orders WHERE total > 94945,5800136,54
SELECT * FROM orders WHERE total > 33063,5119034,51
SELECT * FROM users WHERE id = 53897,935721,9
SELECT * FROM orders WHERE total > 23439,5704892,54
SELECT * FROM orders WHERE total > 66803,5179655,46
SELECT * FROM orders WHERE total > 92222,5631149,68
SELECT * FROM users WHERE id IN (303),1029803,20
SELECT * FROM orders WHERE total > 9158,5705068,53
SELECT COUNT(*) FROM events WHERE month = 'May',10783193,108
SELECT * FROM orders WHERE total > 63502,5882357,60
SELECT * FROM orders WHERE total > 43538,5822238,69
"SELECT * FROM orders WHERE status IN ('cancelled', 'returned')",2151177,28
SELECT * FROM users WHERE id = 91037,831359,3
SELECT * FROM orders WHERE total > 19091,5557850,65
SELECT * FROM users WHERE id = 13479,882257,20
SELECT * FROM users WHERE id = 65370,930648,15
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2938126,37
SELECT * FROM users WHERE id = 34395,969728,8
SELECT * FROM users WHERE id = 38252,818960,23
SELECT COUNT(*) FROM events WHERE month = 'Jun',10051964,113
SELECT * FROM users WHERE id = 57452,938767,4
SELECT * FROM orders WHERE total > 64994,5753209,62
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3247172,29
SELECT * FROM orders WHERE total > 68828,5539442,63
SELECT * FROM users WHERE id IN (396),1316599,26
SELECT COUNT(*) FROM events WHERE month = 'Apr',10082782,102
SELECT * FROM users WHERE id = 50184,886930,8
SELECT * FROM orders WHERE total > 49106,4905403,53
SELECT * FROM users WHERE id = 65984,1162149,19
SELECT * FROM orders WHERE total > 47817,4396823,42
SELECT * FROM users WHERE id = 73091,1017744,8
SELECT * FROM users WHERE id = 37727,1097454,21
SELECT * FROM users WHERE id = 96297,844441,5
SELECT * FROM orders WHERE total > 60934,5831206,55
SELECT * FROM products WHERE category = 'toys',1898118,30
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",8036531,84
SELECT * FROM users WHERE id = 2967,1175531,13
SELECT * FROM users WHERE id = 17470,999833,19
SELECT * FROM orders WHERE total > 6388,4077338,46
SELECT * FROM users WHERE id = 54091,969542,11
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",8805956,85
SELECT * FROM users WHERE id = 77522,1015547,24
SELECT * FROM users WHERE id = 90135,1066698,5
SELECT * FROM orders WHERE total > 17409,4107173,49
SELECT * FROM users WHERE id = 61631,1024887,13
SELECT * FROM users WHERE id = 97303,1109952,13
SELECT * FROM products WHERE category = 'toys',2445315,28
SELECT COUNT(*) FROM events WHERE month = 'Mar',11330918,121
SELECT * FROM orders WHERE total > 74999,5254249,62
SELECT * FROM orders WHERE total > 55641,4448410,54
SELECT * FROM users WHERE id = 87258,1037788,18
SELECT * FROM users WHERE id = 70825,1062290,16
SELECT * FROM users WHERE id = 21178,1055625,22
SELECT * FROM users WHERE id IN (327),1196730,12
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",9308164,93
SELECT * FROM products WHERE category = 'toys',2377144,19
SELECT COUNT(*) FROM events WHERE month = 'Mar',9621745,108
SELECT * FROM orders WHERE total > 19189,4084495,52
"SELECT * FROM users WHERE id IN (92, 367, 447, 335)",1009322,14
SELECT * FROM users WHERE id = 30949,1138726,13
SELECT * FROM orders WHERE total > 59490,4070048,39
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",8329649,78
SELECT * FROM users WHERE id = 88147,945018,6
SELECT * FROM users WHERE id = 34370,1100308,12
SELECT * FROM orders WHERE total > 41355,4715382,50
SELECT * FROM users WHERE id = 74979,1188477,14
SELECT COUNT(*) FROM events WHERE month = 'Jan',11251774,116
SELECT * FROM orders WHERE total > 20546,5369027,65
SELECT * FROM users WHERE id = 26771,910798,4
SELECT COUNT(*) FROM events WHERE month = 'Mar',11713928,125
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",8627169,83
SELECT * FROM orders WHERE total > 4414,4615344,44
SELECT * FROM orders WHERE total > 13199,5733428,69
SELECT * FROM products WHERE category = 'electronics',1826105,22
SELECT COUNT(*) FROM events WHERE month = 'Mar',10203930,106
SELECT * FROM users WHERE id IN (658),1121829,21
SELECT COUNT(*) FROM events WHERE month = 'Apr',10499057,113
SELECT * FROM users WHERE id IN (185),1267363,12
SELECT * FROM users WHERE id = 7241,1117737,11
SELECT * FROM users WHERE id = 37803,824715,8
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",8322217,90
"SELECT * FROM users WHERE id IN (312, 239, 223, 230)",1069063,6
SELECT * FROM users WHERE id = 62241,979093,14
"SELECT * FROM users WHERE id IN (945, 315)",1410258,20
SELECT * FROM users WHERE id = 28320,1011982,24
SELECT COUNT(*) FROM events WHERE month = 'Jun',9987137,95
SELECT * FROM users WHERE id = 48861,1188640,22
SELECT * FROM users WHERE id = 53249,816029,19
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",9766530,96
SELECT * FROM users WHERE id = 90641,1008221,18
SELECT * FROM users WHERE id = 69082,979526,11
SELECT * FROM orders WHERE total > 93371,4362165,47
SELECT COUNT(*) FROM events WHERE month = 'Jan',9353307,106
SELECT * FROM sessions WHERE duration > 50532,4758673,57
SELECT * FROM orders WHERE total > 41696,5148677,57
SELECT * FROM users WHERE id = 55199,946874,13
SELECT * FROM users WHERE id = 8609,1025756,11
SELECT COUNT(*) FROM events WHERE month = 'Mar',11664174,121
SELECT * FROM users WHERE id = 75038,980535,19
SELECT * FROM users WHERE id = 90946,1151015,19
SELECT COUNT(*) FROM events WHERE month = 'Feb',10263759,114
SELECT * FROM users WHERE id = 21697,973857,11
SELECT * FROM users WHERE id = 5539,872048,3
SELECT * FROM users WHERE id = 56785,1183831,8
